sampledate,year,daynum,stratFlag,thermocline,layer,temp,o2,tp,doc
5/9/95,1995,129,FALSE,NA,all,7.705701959,13.10094643,85.12520632,NA
5/23/95,1995,143,TRUE,12.02528668,all,12.66346328,9.19999228,NA,NA
5/23/95,1995,143,TRUE,12.02528668,epi,13.4061993,9.334731364,83.63209858,NA
5/23/95,1995,143,TRUE,12.02528668,hypo,10.67971235,8.840121782,NA,NA
6/6/95,1995,157,TRUE,8.105659983,all,14.51345426,8.16673825,102.2909012,NA
6/6/95,1995,157,TRUE,8.105659983,epi,16.69086294,9.803743655,75.53050973,NA
6/6/95,1995,157,TRUE,8.105659983,hypo,12.09173234,6.346054843,132.0539066,NA
6/21/95,1995,172,TRUE,5.433602162,all,17.7251787,8.020967997,NA,NA
6/21/95,1995,172,TRUE,5.433602162,epi,24.11334395,14.49780255,44.40907643,NA
6/21/95,1995,172,TRUE,5.433602162,hypo,14.28986954,4.537975898,NA,NA
7/6/95,1995,187,TRUE,12.72974976,all,18.70375699,5.731405215,99.96641807,NA
7/6/95,1995,187,TRUE,12.72974976,epi,21.09164243,7.688550436,42.43085106,NA
7/6/95,1995,187,TRUE,12.72974976,hypo,12.32602678,0.504125888,253.6364047,NA
7/18/95,1995,199,TRUE,9.85550916,all,19.64957379,4.587272112,NA,NA
7/18/95,1995,199,TRUE,9.85550916,epi,24.4602913,7.535415868,29.19384822,NA
7/18/95,1995,199,TRUE,9.85550916,hypo,12.97523438,0.497048141,NA,NA
8/2/95,1995,214,TRUE,9.566683317,all,19.85664539,3.127424154,139.6159453,NA
8/2/95,1995,214,TRUE,9.566683317,epi,24.36688386,5.237447298,33.76959563,NA
8/2/95,1995,214,TRUE,9.566683317,hypo,13.59918746,0.2,286.4660696,NA
8/14/95,1995,226,TRUE,9.175373355,all,20.52624007,3.268842706,NA,NA
8/14/95,1995,226,TRUE,9.175373355,epi,25.44204676,5.48079724,23.80615178,NA
8/14/95,1995,226,TRUE,9.175373355,hypo,13.70610101,0.2,NA,NA
8/30/95,1995,242,TRUE,10.38714167,all,20.13162016,4.172660941,136.3442198,NA
8/30/95,1995,242,TRUE,10.38714167,epi,24.09985928,6.364256816,25.17097625,NA
8/30/95,1995,242,TRUE,10.38714167,hypo,13.2830159,0.390284819,328.2130887,NA
9/11/95,1995,254,TRUE,12.11350356,all,18.16024712,4.756287885,NA,NA
9/11/95,1995,254,TRUE,12.11350356,epi,20.3729527,6.456344711,30.9161947,NA
9/11/95,1995,254,TRUE,12.11350356,hypo,12.25039943,0.21565809,NA,NA
9/25/95,1995,268,TRUE,14.55155292,all,15.17176953,5.959214264,NA,NA
