datetime,lake,variable,unit,ThermoclineDepth,type,concentration_mg_per_L
1995-05-09,Mendota,tp,MilliGM-PER-L,NA,all,0.085022299
1995-06-06,Mendota,tp,MilliGM-PER-L,NA,all,0.101603108
1995-07-06,Mendota,tp,MilliGM-PER-L,NA,all,0.099151406
1995-08-02,Mendota,tp,MilliGM-PER-L,NA,all,0.135268574
1995-08-30,Mendota,tp,MilliGM-PER-L,NA,all,0.131807844
1995-10-25,Mendota,tp,MilliGM-PER-L,NA,all,0.155005673
1995-11-10,Mendota,tp,MilliGM-PER-L,NA,all,0.143637395
1996-04-17,Mendota,tp,MilliGM-PER-L,0,all,0.12227479
1996-05-14,Mendota,tp,MilliGM-PER-L,14.09796391,all,0.100269117
1996-05-14,Mendota,tp,MilliGM-PER-L,14.09796391,epi,0.100557769
1996-05-14,Mendota,tp,MilliGM-PER-L,14.09796391,hypo,0.099
1996-06-10,Mendota,tp,MilliGM-PER-L,15.5330996,all,0.114948051
1996-06-10,Mendota,tp,MilliGM-PER-L,15.5330996,epi,0.106233419
1996-06-10,Mendota,tp,MilliGM-PER-L,15.5330996,hypo,0.164112058
1996-07-08,Mendota,tp,MilliGM-PER-L,14.22417321,all,0.121858313
1996-07-08,Mendota,tp,MilliGM-PER-L,14.22417321,epi,0.098134553
1996-07-08,Mendota,tp,MilliGM-PER-L,14.22417321,hypo,0.226164537
1996-07-22,Mendota,tp,MilliGM-PER-L,15.17649492,all,0.054362605
1996-07-22,Mendota,tp,MilliGM-PER-L,15.17649492,epi,0.054426879
1996-07-22,Mendota,tp,MilliGM-PER-L,15.17649492,hypo,0.054
1996-08-05,Mendota,tp,MilliGM-PER-L,14.54791304,all,0.129217168
1996-08-05,Mendota,tp,MilliGM-PER-L,14.54791304,epi,0.086333172
1996-08-05,Mendota,tp,MilliGM-PER-L,14.54791304,hypo,0.317765176
1996-09-05,Mendota,tp,MilliGM-PER-L,14.27870826,all,0.139067982
1996-09-05,Mendota,tp,MilliGM-PER-L,14.27870826,epi,0.064816762
1996-09-05,Mendota,tp,MilliGM-PER-L,14.27870826,hypo,0.465528222
1996-11-08,Mendota,tp,MilliGM-PER-L,17.5,all,0.135055057
1996-11-08,Mendota,tp,MilliGM-PER-L,17.5,epi,0.135151891
1996-11-08,Mendota,tp,MilliGM-PER-L,17.5,hypo,0.134054111
1996-11-25,Mendota,tp,MilliGM-PER-L,0,all,0.133637395
1997-05-13,Mendota,tp,MilliGM-PER-L,13.93957426,all,0.126549581
