datetime,lake,variable,unit,ThermoclineDepth,type,concentration_mg_per_L
5/9/95,Mendota,tp,MilliGM-PER-L,NA,all,0.085022299
6/6/95,Mendota,tp,MilliGM-PER-L,NA,all,0.101603108
7/6/95,Mendota,tp,MilliGM-PER-L,NA,all,0.099151406
8/2/95,Mendota,tp,MilliGM-PER-L,NA,all,0.135268574
8/30/95,Mendota,tp,MilliGM-PER-L,NA,all,0.131807844
10/25/95,Mendota,tp,MilliGM-PER-L,NA,all,0.155005673
11/10/95,Mendota,tp,MilliGM-PER-L,NA,all,0.143637395
4/17/96,Mendota,tp,MilliGM-PER-L,0,all,0.12227479
5/14/96,Mendota,tp,MilliGM-PER-L,14.09796391,all,0.100269117
5/14/96,Mendota,tp,MilliGM-PER-L,14.09796391,epi,0.100557769
5/14/96,Mendota,tp,MilliGM-PER-L,14.09796391,hypo,0.099
6/10/96,Mendota,tp,MilliGM-PER-L,15.5330996,all,0.114948051
6/10/96,Mendota,tp,MilliGM-PER-L,15.5330996,epi,0.106233419
6/10/96,Mendota,tp,MilliGM-PER-L,15.5330996,hypo,0.164112058
7/8/96,Mendota,tp,MilliGM-PER-L,14.22417321,all,0.121858313
7/8/96,Mendota,tp,MilliGM-PER-L,14.22417321,epi,0.098134553
7/8/96,Mendota,tp,MilliGM-PER-L,14.22417321,hypo,0.226164537
7/22/96,Mendota,tp,MilliGM-PER-L,15.17649492,all,0.054362605
7/22/96,Mendota,tp,MilliGM-PER-L,15.17649492,epi,0.054426879
7/22/96,Mendota,tp,MilliGM-PER-L,15.17649492,hypo,0.054
8/5/96,Mendota,tp,MilliGM-PER-L,14.54791304,all,0.129217168
8/5/96,Mendota,tp,MilliGM-PER-L,14.54791304,epi,0.086333172
8/5/96,Mendota,tp,MilliGM-PER-L,14.54791304,hypo,0.317765176
9/5/96,Mendota,tp,MilliGM-PER-L,14.27870826,all,0.139067982
9/5/96,Mendota,tp,MilliGM-PER-L,14.27870826,epi,0.064816762
9/5/96,Mendota,tp,MilliGM-PER-L,14.27870826,hypo,0.465528222
11/8/96,Mendota,tp,MilliGM-PER-L,17.5,all,0.135055057
11/8/96,Mendota,tp,MilliGM-PER-L,17.5,epi,0.135151891
11/8/96,Mendota,tp,MilliGM-PER-L,17.5,hypo,0.134054111
11/25/96,Mendota,tp,MilliGM-PER-L,0,all,0.133637395
5/13/97,Mendota,tp,MilliGM-PER-L,13.93957426,all,0.126549581
5/13/97,Mendota,tp,MilliGM-PER-L,13.93957426,epi,0.126136646
5/13/97,Mendota,tp,MilliGM-PER-L,13.93957426,hypo,0.128
6/11/97,Mendota,tp,MilliGM-PER-L,13.3304797,all,0.124846818
6/11/97,Mendota,tp,MilliGM-PER-L,13.3304797,epi,0.117265243
6/11/97,Mendota,tp,MilliGM-PER-L,13.3304797,hypo,0.151476848
6/25/97,Mendota,tp,MilliGM-PER-L,12.18628001,all,0.068
6/25/97,Mendota,tp,MilliGM-PER-L,12.18628001,epi,0.068
6/25/97,Mendota,tp,MilliGM-PER-L,12.18628001,hypo,0.068
7/9/97,Mendota,tp,MilliGM-PER-L,15.16851616,all,0.143523878
7/9/97,Mendota,tp,MilliGM-PER-L,15.16851616,epi,0.115232141
7/9/97,Mendota,tp,MilliGM-PER-L,15.16851616,hypo,0.303133028
8/6/97,Mendota,tp,MilliGM-PER-L,14.02479924,all,0.167062259
8/6/97,Mendota,tp,MilliGM-PER-L,14.02479924,epi,0.109867022
8/6/97,Mendota,tp,MilliGM-PER-L,14.02479924,hypo,0.418532481
9/2/97,Mendota,tp,MilliGM-PER-L,14.49663505,all,0.180384805
